customer_id,customer_segment
CUST00343,Low txn count / High avg value – Premium User
CUST00344,High txn count / Low avg value – Daily Spender
CUST00345,High txn count / Low avg value – Daily Spender
CUST00346,High txn count / Low avg value – Daily Spender
CUST00347,High Groceries/Fuel ratio – Household User
CUST00348,High txn count / Low avg value – Daily Spender
CUST00349,High txn count / Low avg value – Daily Spender
CUST00350,Low txn count / High avg value – Premium User
CUST00351,High Travel & Dining – Lifestyle User
CUST00352,High txn count / Low avg value – Daily Spender
CUST00353,High Groceries/Fuel ratio – Household User
CUST00354,High Groceries/Fuel ratio – Household User
CUST00355,High txn count / Low avg value – Daily Spender
CUST00356,High Groceries/Fuel ratio – Household User
CUST00357,Low txn count / High avg value – Premium User
CUST00358,High txn count / Low avg value – Daily Spender
CUST00359,Low txn count / High avg value – Premium User
CUST00360,High txn count / Low avg value – Daily Spender
CUST00361,High txn count / Low avg value – Daily Spender
CUST00362,High Groceries/Fuel ratio – Household User
CUST00363,Low txn count / High avg value – Premium User
CUST00364,High txn count / Low avg value – Daily Spender
CUST00365,High txn count / Low avg value – Daily Spender
CUST00366,Low Activity – Dormant User
CUST00367,High Travel & Dining – Lifestyle User
CUST00368,High Groceries/Fuel ratio – Household User
CUST00369,High Groceries/Fuel ratio – Household User
CUST00370,High Groceries/Fuel ratio – Household User
CUST00371,High Groceries/Fuel ratio – Household User
CUST00372,High Groceries/Fuel ratio – Household User
CUST00373,High txn count / Low avg value – Daily Spender
CUST00374,High Groceries/Fuel ratio – Household User
CUST00375,High txn count / Low avg value – Daily Spender
CUST00376,High txn count / Low avg value – Daily Spender
CUST00377,High Groceries/Fuel ratio – Household User
CUST00378,Low txn count / High avg value – Premium User
CUST00379,High Travel & Dining – Lifestyle User
CUST00380,High Groceries/Fuel ratio – Household User
CUST00381,High txn count / Low avg value – Daily Spender
CUST00382,High txn count / Low avg value – Daily Spender
CUST00383,High txn count / Low avg value – Daily Spender
CUST00384,High txn count / Low avg value – Daily Spender
CUST00385,High txn count / Low avg value – Daily Spender
CUST00386,High txn count / Low avg value – Daily Spender
CUST00387,High Groceries/Fuel ratio – Household User
CUST00388,High txn count / Low avg value – Daily Spender
CUST00389,Low txn count / High avg value – Premium User
CUST00390,Low Activity – Dormant User
CUST00391,Low txn count / High avg value – Premium User
CUST00392,High txn count / Low avg value – Daily Spender
CUST00393,High txn count / Low avg value – Daily Spender
CUST00394,High txn count / Low avg value – Daily Spender
CUST00395,Low txn count / High avg value – Premium User
CUST00396,High txn count / Low avg value – Daily Spender
CUST00397,Low txn count / High avg value – Premium User
CUST00398,High txn count / Low avg value – Daily Spender
CUST00399,High txn count / Low avg value – Daily Spender
CUST00400,High Groceries/Fuel ratio – Household User
CUST00401,High txn count / Low avg value – Daily Spender
CUST00402,Low txn count / High avg value – Premium User
CUST00403,Low txn count / High avg value – Premium User
CUST00404,High Travel & Dining – Lifestyle User
CUST00405,High Travel & Dining – Lifestyle User
CUST00406,High txn count / Low avg value – Daily Spender
CUST00407,High Groceries/Fuel ratio – Household User
CUST00408,High txn count / Low avg value – Daily Spender
CUST00409,High Groceries/Fuel ratio – Household User
CUST00410,High txn count / Low avg value – Daily Spender
CUST00411,Low Activity – Dormant User
CUST00412,Low txn count / High avg value – Premium User
CUST00413,Low txn count / High avg value – Premium User
CUST00414,High txn count / Low avg value – Daily Spender
CUST00415,Low txn count / High avg value – Premium User
CUST00416,High txn count / Low avg value – Daily Spender
CUST00417,High txn count / Low avg value – Daily Spender
CUST00418,High txn count / Low avg value – Daily Spender
CUST00419,High txn count / Low avg value – Daily Spender
CUST00420,High txn count / Low avg value – Daily Spender
CUST00421,High txn count / Low avg value – Daily Spender
CUST00422,High Groceries/Fuel ratio – Household User
CUST00423,Low txn count / High avg value – Premium User
CUST00424,High Groceries/Fuel ratio – Household User
CUST00425,Low txn count / High avg value – Premium User
CUST00426,Low txn count / High avg value – Premium User
CUST00427,High txn count / Low avg value – Daily Spender
CUST00428,High txn count / Low avg value – Daily Spender
CUST00429,High Groceries/Fuel ratio – Household User
CUST00430,High Groceries/Fuel ratio – Household User
CUST00431,High txn count / Low avg value – Daily Spender
CUST00432,High txn count / Low avg value – Daily Spender
CUST00433,High Groceries/Fuel ratio – Household User
CUST00434,High Groceries/Fuel ratio – Household User
CUST00435,High txn count / Low avg value – Daily Spender
CUST00436,High Groceries/Fuel ratio – Household User
CUST00437,High Travel & Dining – Lifestyle User
CUST00438,High txn count / Low avg value – Daily Spender
CUST00439,High Groceries/Fuel ratio – Household User
CUST00440,High Groceries/Fuel ratio – Household User
CUST00441,High Travel & Dining – Lifestyle User
CUST00442,High txn count / Low avg value – Daily Spender
CUST00443,High txn count / Low avg value – Daily Spender
CUST00444,Low txn count / High avg value – Premium User
CUST00445,High txn count / Low avg value – Daily Spender
CUST00446,Low Activity – Dormant User
CUST00447,High txn count / Low avg value – Daily Spender
CUST00448,High txn count / Low avg value – Daily Spender
CUST00449,High Groceries/Fuel ratio – Household User
CUST00450,High txn count / Low avg value – Daily Spender
CUST00451,Low txn count / High avg value – Premium User
CUST00452,Low txn count / High avg value – Premium User
CUST00453,High txn count / Low avg value – Daily Spender
CUST00454,High Groceries/Fuel ratio – Household User
CUST00455,Low txn count / High avg value – Premium User
CUST00456,High Groceries/Fuel ratio – Household User
CUST00457,Low txn count / High avg value – Premium User
CUST00458,High Groceries/Fuel ratio – Household User
CUST00459,High Groceries/Fuel ratio – Household User
CUST00460,High Groceries/Fuel ratio – Household User
CUST00461,High txn count / Low avg value – Daily Spender
CUST00462,High txn count / Low avg value – Daily Spender
CUST00463,Low txn count / High avg value – Premium User
CUST00464,Low txn count / High avg value – Premium User
CUST00465,High txn count / Low avg value – Daily Spender
CUST00466,High txn count / Low avg value – Daily Spender
CUST00467,Low txn count / High avg value – Premium User
CUST00468,High Groceries/Fuel ratio – Household User
CUST00469,Low txn count / High avg value – Premium User
CUST00470,High Groceries/Fuel ratio – Household User
CUST00471,High Travel & Dining – Lifestyle User
CUST00472,High Groceries/Fuel ratio – Household User
CUST00473,High Travel & Dining – Lifestyle User
CUST00474,Low txn count / High avg value – Premium User
CUST00475,High txn count / Low avg value – Daily Spender
CUST00476,High Groceries/Fuel ratio – Household User
CUST00477,Low txn count / High avg value – Premium User
CUST00478,Low txn count / High avg value – Premium User
CUST00479,Low txn count / High avg value – Premium User
CUST00480,High txn count / Low avg value – Daily Spender
CUST00481,High txn count / Low avg value – Daily Spender
CUST00482,Low txn count / High avg value – Premium User
CUST00483,High txn count / Low avg value – Daily Spender
CUST00484,Low txn count / High avg value – Premium User
CUST00485,High Travel & Dining – Lifestyle User
CUST00486,High Groceries/Fuel ratio – Household User
CUST00487,High txn count / Low avg value – Daily Spender
CUST00488,High txn count / Low avg value – Daily Spender
CUST00489,High txn count / Low avg value – Daily Spender
CUST00490,Low txn count / High avg value – Premium User
CUST00491,High txn count / Low avg value – Daily Spender
CUST00492,High txn count / Low avg value – Daily Spender
CUST00493,High Groceries/Fuel ratio – Household User
CUST00494,Low txn count / High avg value – Premium User
CUST00495,High txn count / Low avg value – Daily Spender
CUST00496,Low txn count / High avg value – Premium User
CUST00497,High Groceries/Fuel ratio – Household User
CUST00498,High txn count / Low avg value – Daily Spender
CUST00499,High Travel & Dining – Lifestyle User
CUST00500,High txn count / Low avg value – Daily Spender
CUST00501,Low txn count / High avg value – Premium User
CUST00502,High txn count / Low avg value – Daily Spender
CUST00503,High Travel & Dining – Lifestyle User
CUST00504,High txn count / Low avg value – Daily Spender
CUST00505,High Groceries/Fuel ratio – Household User
CUST00506,High Travel & Dining – Lifestyle User
CUST00507,Low txn count / High avg value – Premium User
CUST00508,High txn count / Low avg value – Daily Spender
CUST00509,High txn count / Low avg value – Daily Spender
CUST00510,High txn count / Low avg value – Daily Spender
CUST00511,Low txn count / High avg value – Premium User
CUST00512,Low txn count / High avg value – Premium User
CUST00513,High Travel & Dining – Lifestyle User
CUST00514,High Groceries/Fuel ratio – Household User
CUST00515,High Groceries/Fuel ratio – Household User
CUST00516,High txn count / Low avg value – Daily Spender
CUST00517,High txn count / Low avg value – Daily Spender
CUST00518,High txn count / Low avg value – Daily Spender
CUST00519,High Groceries/Fuel ratio – Household User
CUST00520,Low txn count / High avg value – Premium User
CUST00521,High txn count / Low avg value – Daily Spender
CUST00522,High txn count / Low avg value – Daily Spender
CUST00523,Low Activity – Dormant User
CUST00524,Low txn count / High avg value – Premium User
CUST00525,Low txn count / High avg value – Premium User
CUST00526,Low txn count / High avg value – Premium User
CUST00527,High txn count / Low avg value – Daily Spender
CUST00528,High Groceries/Fuel ratio – Household User
CUST00529,Low txn count / High avg value – Premium User
CUST00530,High txn count / Low avg value – Daily Spender
CUST00531,Low txn count / High avg value – Premium User
CUST00532,Low txn count / High avg value – Premium User
CUST00533,Low txn count / High avg value – Premium User
CUST00534,High txn count / Low avg value – Daily Spender
CUST00535,High txn count / Low avg value – Daily Spender
CUST00536,Low txn count / High avg value – Premium User
CUST00537,High Groceries/Fuel ratio – Household User
CUST00538,Low txn count / High avg value – Premium User
CUST00539,High Groceries/Fuel ratio – Household User
CUST00540,Low txn count / High avg value – Premium User
CUST00541,High txn count / Low avg value – Daily Spender
CUST00542,High Groceries/Fuel ratio – Household User
CUST00543,High txn count / Low avg value – Daily Spender
CUST00544,High txn count / Low avg value – Daily Spender
CUST00545,High txn count / Low avg value – Daily Spender
CUST00546,High Groceries/Fuel ratio – Household User
CUST00547,High txn count / Low avg value – Daily Spender
CUST00548,Low txn count / High avg value – Premium User
CUST00549,High txn count / Low avg value – Daily Spender
CUST00550,Low txn count / High avg value – Premium User
CUST00551,High txn count / Low avg value – Daily Spender
CUST00552,Low txn count / High avg value – Premium User
CUST00553,Low txn count / High avg value – Premium User
CUST00554,Low txn count / High avg value – Premium User
CUST00555,Low txn count / High avg value – Premium User
CUST00556,High Groceries/Fuel ratio – Household User
CUST00557,High Groceries/Fuel ratio – Household User
CUST00558,High txn count / Low avg value – Daily Spender
CUST00559,High txn count / Low avg value – Daily Spender
CUST00560,High txn count / Low avg value – Daily Spender
CUST00561,High Groceries/Fuel ratio – Household User
CUST00562,High Groceries/Fuel ratio – Household User
CUST00563,High Groceries/Fuel ratio – Household User
CUST00564,High txn count / Low avg value – Daily Spender
CUST00565,Low txn count / High avg value – Premium User
CUST00566,High txn count / Low avg value – Daily Spender
CUST00567,Low txn count / High avg value – Premium User
CUST00568,High Travel & Dining – Lifestyle User
CUST00569,High txn count / Low avg value – Daily Spender
CUST00570,Low txn count / High avg value – Premium User
CUST00571,High txn count / Low avg value – Daily Spender
CUST00572,High txn count / Low avg value – Daily Spender
CUST00573,High txn count / Low avg value – Daily Spender
CUST00574,High txn count / Low avg value – Daily Spender
CUST00575,Low txn count / High avg value – Premium User
CUST00576,High Groceries/Fuel ratio – Household User
CUST00577,Low txn count / High avg value – Premium User
CUST00578,Low txn count / High avg value – Premium User
CUST00579,High txn count / Low avg value – Daily Spender
CUST00580,Low txn count / High avg value – Premium User
CUST00581,High Travel & Dining – Lifestyle User
CUST00582,Low txn count / High avg value – Premium User
CUST00583,High txn count / Low avg value – Daily Spender
CUST00584,High txn count / Low avg value – Daily Spender
CUST00585,High Groceries/Fuel ratio – Household User
CUST00586,High Groceries/Fuel ratio – Household User
CUST00587,High Groceries/Fuel ratio – Household User
CUST00588,High Groceries/Fuel ratio – Household User
CUST00589,High Groceries/Fuel ratio – Household User
CUST00590,High Groceries/Fuel ratio – Household User
CUST00591,High txn count / Low avg value – Daily Spender
CUST00592,High Groceries/Fuel ratio – Household User
CUST00593,High txn count / Low avg value – Daily Spender
CUST00594,High txn count / Low avg value – Daily Spender
CUST00595,Low txn count / High avg value – Premium User
CUST00596,High txn count / Low avg value – Daily Spender
CUST00597,High Groceries/Fuel ratio – Household User
CUST00598,High Groceries/Fuel ratio – Household User
